AUDIO_FILE,REACTION_TIME,FREQUENCY_R,ID,BLOCK_4,ORDER,LIST,CONDITION,ITEM,PICTURE,WORD_FRENCH,RESPONSE,CATEGORY,NEW_PIC,TYPE_OF_ERROR,NO_RESPONSE,SEM1,ERROR,CATEGORY_RESPONSE
sub12_PICTURE_169.wav,891.7,HIGH,sub12,3,125,5,Basic,140,PICTURE_169,dos,dos,parties du corps,0,,0,0,0,0
sub11_PICTURE_169.wav,994.9,HIGH,sub11,3,125,5,Basic,140,PICTURE_169,dos,dos,parties du corps,0,,0,0,0,0
sub14_PICTURE_169.wav,1444.4,HIGH,sub14,3,125,5,Basic,140,PICTURE_169,dos,dos,parties du corps,0,,0,0,0,0
sub10_PICTURE_52.wav,926.7,LOW,sub10,3,125,3,Basic,360,PICTURE_52,scie,scie,outils,0,,0,0,0,0
sub09_PICTURE_52.wav,941.5,LOW,sub09,3,125,3,Basic,360,PICTURE_52,scie,scie,outils,0,,0,0,0,0
sub17_PICTURE_521.wav,1166.2,LOW,sub17,3,125,6,Basic,344,PICTURE_521,renard,renard,mammifères,0,,0,0,0,0
sub19_PICTURE_521.wav,1169.9,LOW,sub19,3,125,6,Basic,344,PICTURE_521,renard,renard,mammifères,0,,0,0,0,0
sub18_PICTURE_521.wav,1173.6,LOW,sub18,3,125,6,Basic,344,PICTURE_521,renard,renard,mammifères,0,,0,0,0,0
sub24_PICTURE_521.wav,1269.4,LOW,sub24,3,125,6,Basic,344,PICTURE_521,renard,renard,mammifères,0,,0,0,0,0
sub07_PICTURE_539.wav,1284.1,LOW,sub07,3,125,2,Basic,16,PICTURE_539,astronaute,astronaute,professions,0,,0,0,0,0
sub03_PICTURE_539.wav,1328.4,LOW,sub03,3,125,2,Basic,16,PICTURE_539,astronaute,astronaute,professions,0,,0,0,0,0
sub15_PICTURE_52.wav,1361.5,LOW,sub15,3,125,3,Basic,360,PICTURE_52,scie,scie,outils,0,,0,0,0,0
sub08_PICTURE_52.wav,1626.8,LOW,sub08,3,125,3,Basic,360,PICTURE_52,scie,tronconneuse,outils,0,SEM1,0,1,1,0
sub02_PICTURE_539.wav,1656.3,LOW,sub02,3,125,2,Basic,16,PICTURE_539,astronaute,cosmonaute,professions,0,SYN,0,0,0,0
sub04_PICTURE_637.wav,1068.6,HIGH,sub04,3,125,1,Basic,278,PICTURE_637,ours,ours,mammifères,0,,0,0,0,0
sub01_PICTURE_637.wav,1090.7,HIGH,sub01,3,125,1,Basic,278,PICTURE_637,ours,ours,mammifères,0,,0,0,0,0
sub23_PICTURE_637.wav,1156.7,HIGH,sub23,3,125,1,Basic,278,PICTURE_637,ours,ours,mammifères,0,,0,0,0,0
sub06_PICTURE_637.wav,1179.1,HIGH,sub06,3,125,1,Basic,278,PICTURE_637,ours,ours,mammifères,0,,0,0,0,0
sub22_PICTURE_596.wav,1704.2,LOW,sub22,3,125,4,Category,316,PICTURE_596,pochette,papier,papeterie,0,GEN,0,0,1,0
sub21_PICTURE_596.wav,1885,LOW,sub21,3,125,4,Category,316,PICTURE_596,pochette,papeterie,papeterie,0,CAT,0,0,1,1
sub16_PICTURE_539.wav,2050.6,LOW,sub16,3,125,2,Basic,16,PICTURE_539,astronaute,astronaute,professions,0,,0,0,0,0
sub20_PICTURE_596.wav,2212.7,LOW,sub20,3,125,4,Category,316,PICTURE_596,pochette,papier,papeterie,0,GEN,0,0,1,0
sub05_PICTURE_539.wav,,LOW,sub05,3,125,2,Basic,16,PICTURE_539,astronaute,no_response,professions,0,NONE,1,0,1,0
sub02_PICTURE_196.wav,,HIGH,sub02,3,126,0,Basic,274,PICTURE_196,ordinateur,no_response,appareilles électronique,0,NONE,1,0,1,0
sub17_PICTURE_543.wav,1064.9,HIGH,sub17,3,126,6,Category,365,PICTURE_543,sein,sein,parties du corps,0,,0,0,0,0
sub18_PICTURE_543.wav,1333.9,HIGH,sub18,3,126,6,Category,365,PICTURE_543,sein,sein,parties du corps,0,,0,0,0,0
sub19_PICTURE_543.wav,1529.2,HIGH,sub19,3,126,6,Category,365,PICTURE_543,sein,sein,parties du corps,0,,0,0,0,0
sub24_PICTURE_543.wav,1684,HIGH,sub24,3,126,6,Category,365,PICTURE_543,sein,sein,parties du corps,0,,0,0,0,0
sub09_PICTURE_298.wav,1144.1,LOW,sub09,3,126,3,Category,279,PICTURE_298,paella,paella,nourriture,0,,0,0,0,0
sub23_PICTURE_750.wav,1175.9,LOW,sub23,3,126,1,Basic,58,PICTURE_750,cafetière,cafetière,ustensiles de cuisine,0,,0,0,0,0
sub10_PICTURE_298.wav,1181,LOW,sub10,3,126,3,Category,279,PICTURE_298,paella,paella,nourriture,0,,0,0,0,0
sub08_PICTURE_298.wav,1313.6,LOW,sub08,3,126,3,Category,279,PICTURE_298,paella,paella,nourriture,0,,0,0,0,0
sub15_PICTURE_298.wav,1324.9,LOW,sub15,3,126,3,Category,279,PICTURE_298,paella,paella,nourriture,0,,0,0,0,0
sub21_PICTURE_273.wav,976.5,HIGH,sub21,3,126,4,Basic,53,PICTURE_273,bus,bus,véhicules,0,,0,0,0,0
sub22_PICTURE_273.wav,1164,HIGH,sub22,3,126,4,Basic,53,PICTURE_273,bus,bus,véhicules,0,,0,0,0,0
sub20_PICTURE_273.wav,1263.9,HIGH,sub20,3,126,4,Basic,53,PICTURE_273,bus,bus,véhicules,0,,0,0,0,0
sub01_PICTURE_750.wav,1538.4,LOW,sub01,3,126,1,Basic,58,PICTURE_750,cafetière,cafetière,ustensiles de cuisine,0,,0,0,0,0
sub04_PICTURE_750.wav,1593.7,LOW,sub04,3,126,1,Basic,58,PICTURE_750,cafetière,cafetière,ustensiles de cuisine,0,,0,0,0,0
sub11_PICTURE_821.wav,659.6,HIGH,sub11,3,126,5,Category,377,PICTURE_821,souris,souris,appareilles électronique,1,,0,0,0,0
sub12_PICTURE_821.wav,777.5,HIGH,sub12,3,126,5,Category,377,PICTURE_821,souris,souris,appareilles électronique,1,,0,0,0,0
sub13_PICTURE_821.wav,877,HIGH,sub13,3,126,5,Category,377,PICTURE_821,souris,souris,appareilles électronique,1,,0,0,0,0
sub14_PICTURE_821.wav,899.1,HIGH,sub14,3,126,5,Category,377,PICTURE_821,souris,souris,appareilles électronique,1,,0,0,0,0
sub07_PICTURE_196.wav,1120.2,HIGH,sub07,3,126,2,Basic,274,PICTURE_196,ordinateur,ordinateur,appareilles électronique,0,,0,0,0,0
sub16_PICTURE_196.wav,1208.6,HIGH,sub16,3,126,2,Basic,274,PICTURE_196,ordinateur,ordinateur,appareilles électronique,0,,0,0,0,0
sub05_PICTURE_196.wav,1367.1,HIGH,sub05,3,126,2,Basic,274,PICTURE_196,ordinateur,ordinateur,appareilles électronique,0,,0,0,0,0
sub03_PICTURE_196.wav,1532.9,HIGH,sub03,3,126,2,Basic,274,PICTURE_196,ordinateur,ordinateur,appareilles électronique,0,,0,0,0,0
sub06_PICTURE_750.wav,,LOW,sub06,3,126,1,Basic,58,PICTURE_750,cafetière,no_response,ustensiles de cuisine,0,NONE,1,0,1,0
sub13_PICTURE_177.wav,709.3,LOW,sub13,3,127,5,Basic,81,PICTURE_177,champignon,champignon,nature,0,,0,0,0,0
sub21_PICTURE_100.wav,939.6,HIGH,sub21,3,127,4,Basic,265,PICTURE_100,nez,nez,parties du corps,0,,0,0,0,0
sub22_PICTURE_100.wav,998.6,HIGH,sub22,3,127,4,Basic,265,PICTURE_100,nez,nez,parties du corps,0,,0,0,0,0
sub20_PICTURE_100.wav,1061.2,HIGH,sub20,3,127,4,Basic,265,PICTURE_100,nez,nez,parties du corps,0,,0,0,0,0
sub17_PICTURE_569.wav,1087,HIGH,sub17,3,127,6,Category,134,PICTURE_569,dent,dent,parties du corps,0,,0,0,0,0
sub18_PICTURE_569.wav,1411.3,HIGH,sub18,3,127,6,Category,134,PICTURE_569,dent,dent,parties du corps,0,,0,0,0,0
sub24_PICTURE_569.wav,1599.2,HIGH,sub24,3,127,6,Category,134,PICTURE_569,dent,dent,parties du corps,0,,0,0,0,0
sub19_PICTURE_569.wav,1676.6,HIGH,sub19,3,127,6,Category,134,PICTURE_569,dent,dent,parties du corps,0,,0,0,0,0
sub16_PICTURE_343.wav,829.1,HIGH,sub16,3,127,2,Basic,42,PICTURE_343,bouteille,bouteille,ustensiles de cuisine,0,,0,0,0,0
sub07_PICTURE_343.wav,954.4,HIGH,sub07,3,127,2,Basic,42,PICTURE_343,bouteille,bouteille,ustensiles de cuisine,0,,0,0,0,0
sub03_PICTURE_343.wav,1031.7,HIGH,sub03,3,127,2,Basic,42,PICTURE_343,bouteille,bouteille,ustensiles de cuisine,0,,0,0,0,0
sub02_PICTURE_343.wav,1462.9,HIGH,sub02,3,127,1,Basic,42,PICTURE_343,bouteille,bouteille,ustensiles de cuisine,0,,0,0,0,0
sub05_PICTURE_343.wav,1897.7,HIGH,sub05,3,127,2,Basic,42,PICTURE_343,bouteille,bouteille de vin,ustensiles de cuisine,0,,0,0,0,0
sub11_PICTURE_177.wav,1033.6,LOW,sub11,3,127,5,Basic,81,PICTURE_177,champignon,champignon,nature,0,,0,0,0,0
sub23_PICTURE_581.wav,1048.7,LOW,sub23,3,127,1,Basic,13,PICTURE_581,asperge,asperge,nourriture,0,,0,0,0,0
sub12_PICTURE_177.wav,1059.4,LOW,sub12,3,127,5,Basic,81,PICTURE_177,champignon,champignon,nature,0,,0,0,0,0
sub14_PICTURE_177.wav,1203.1,LOW,sub14,3,127,5,Basic,81,PICTURE_177,champignon,champignon,nature,0,,0,0,0,0
sub06_PICTURE_581.wav,1258.4,LOW,sub06,3,127,1,Basic,13,PICTURE_581,asperge,asperge,nourriture,0,,0,0,0,0
sub08_PICTURE_277.wav,1306.3,LOW,sub08,3,127,3,Basic,299,PICTURE_277,perruque,perruque,accessoires,0,,0,0,0,0
sub09_PICTURE_277.wav,1372.6,LOW,sub09,3,127,3,Basic,299,PICTURE_277,perruque,perruque,accessoires,0,,0,0,0,0
sub01_PICTURE_581.wav,1560.5,LOW,sub01,3,127,1,Basic,13,PICTURE_581,asperge,asperge,nourriture,0,,0,0,0,0
sub15_PICTURE_277.wav,1678.4,LOW,sub15,3,127,3,Basic,299,PICTURE_277,perruque,perruque,accessoires,0,,0,0,0,0
